                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.5266,                 3.8888,                 4.1817,                0.00301,                 0.2439,                 0.0034,                0.00065,                 4.0178,                 3.8792,                 4.1589,                      0,                      0,                      0
                      1,                 4.2876,                 3.9146,                 4.2027,                0.00267,                0.21951,                0.00305,                0.00072,                 4.0179,                  3.879,                 4.1589,             1.9604e-05,             1.9604e-05,             1.9604e-05
                      2,                 3.8977,                 3.8334,                 4.2093,                0.00292,                 0.2439,                 0.0035,                0.00076,                  4.018,                 3.8787,                 4.1589,             3.8416e-05,             3.8416e-05,             3.8416e-05
                      3,                 3.5676,                 3.8683,                 4.2406,                0.00304,                 0.2439,                0.00416,                0.00083,                  4.018,                 3.8786,                 4.1588,             5.6436e-05,             5.6436e-05,             5.6436e-05
                      4,                 3.9053,                 3.7615,                 4.1746,                0.00312,                 0.2439,                0.00347,                0.00071,                  4.018,                 3.8785,                 4.1587,             7.3664e-05,             7.3664e-05,             7.3664e-05
                      5,                 3.7264,                  3.767,                 4.1961,                0.00265,                0.21951,                0.00284,                0.00068,                 4.0179,                 3.8784,                 4.1585,               9.01e-05,               9.01e-05,               9.01e-05
                      6,                 3.5237,                 3.8388,                 4.2131,                0.00272,                0.21951,                0.00267,                0.00062,                 4.0177,                 3.8785,                 4.1582,             0.00010574,             0.00010574,             0.00010574
                      7,                 3.5456,                 3.8003,                 4.1868,                0.00263,                0.21951,                0.00562,                 0.0009,                 4.0174,                 3.8786,                  4.158,              0.0001206,              0.0001206,              0.0001206
                      8,                 3.9144,                 3.8223,                 4.1715,                0.00269,                0.21951,                0.00295,                0.00063,                  4.017,                 3.8787,                 4.1576,             0.00013466,             0.00013466,             0.00013466
                      9,                 3.6856,                 3.9266,                 4.1729,                0.00273,                0.21951,                0.00964,                0.00128,                 4.0165,                 3.8788,                 4.1572,             0.00014792,             0.00014792,             0.00014792
                     10,                 3.6696,                 3.8507,                  4.175,                0.00238,                0.19512,                0.00456,                0.00081,                 4.0159,                 3.8788,                 4.1567,              0.0001604,              0.0001604,              0.0001604
                     11,                 3.8646,                  3.661,                 4.1987,                0.00318,                 0.2439,                0.00689,                0.00109,                 4.0152,                 3.8789,                 4.1562,             0.00017208,             0.00017208,             0.00017208
                     12,                 4.2901,                 3.8321,                 4.1633,                0.00253,                0.19512,                0.00552,                0.00093,                 4.0144,                 3.8787,                 4.1555,             0.00018298,             0.00018298,             0.00018298
                     13,                 3.6179,                 3.8573,                 4.1625,                0.00312,                 0.2439,                0.00535,                0.00097,                 4.0134,                 3.8784,                 4.1548,             0.00019308,             0.00019308,             0.00019308
                     14,                 3.9104,                  3.792,                 4.1657,                0.00314,                 0.2439,                0.00561,                0.00096,                 4.0122,                 3.8779,                  4.154,             0.00020238,             0.00020238,             0.00020238
                     15,                 3.5316,                 3.5969,                 4.1516,                0.00279,                0.21951,                0.00441,                0.00082,                  4.011,                 3.8774,                 4.1531,              0.0002109,              0.0002109,              0.0002109
                     16,                 3.9619,                  3.652,                 4.1498,                0.00289,                0.21951,                 0.0077,                0.00135,                 4.0095,                 3.8767,                  4.152,             0.00021862,             0.00021862,             0.00021862
                     17,                 3.7715,                 3.7885,                 4.1445,                0.00289,                0.21951,                 0.0077,                0.00135,                 4.0095,                 3.8767,                  4.152,             0.00022556,             0.00022556,             0.00022556
